y,age,category0,num0,category1,num1,category2,category3,category4,category5,category6,num2,num3,num4,category7,yhat
0,76,1,84755,1,10,3,2,3,0,1,0,0,40,0,0
1,40,0,119101,3,10,0,4,0,0,0,5178,0,40,0,1
0,29,1,178272,5,9,2,8,2,0,0,0,0,40,1,0
0,45,0,289353,1,9,1,3,3,1,1,0,0,24,0,0
0,40,4,29036,5,10,0,9,0,1,1,0,0,35,0,0
0,35,5,451940,1,9,0,11,4,1,1,0,0,40,0,0
0,58,0,138285,7,12,1,10,3,0,1,0,1740,40,0,0
0,20,0,42279,5,10,0,5,0,1,0,0,0,40,0,0
1,46,4,180010,5,13,1,9,4,0,1,0,0,40,0,0
0,46,0,165138,3,11,3,7,2,0,1,0,0,40,0,0
1,41,0,168730,3,10,0,6,0,0,0,0,0,50,0,0
1,50,0,158294,1,11,1,3,1,2,1,3103,0,40,1,0
0,31,2,252210,11,3,1,1,3,0,1,0,0,40,6,0
1,41,3,207685,0,13,1,0,1,0,0,0,0,40,0,0
0,32,2,195576,11,7,1,3,1,0,1,0,0,40,0,0
0,65,1,115498,4,13,2,5,1,0,1,3818,0,10,0,0
0,54,0,82566,8,12,1,6,2,0,0,0,0,45,0,0
0,52,0,169785,1,10,0,6,2,0,1,0,0,50,0,0
1,53,1,48343,1,9,0,2,0,0,0,0,1902,40,0,1
0,38,2,53930,5,6,2,8,0,1,1,0,0,40,4,0
0,27,2,211032,15,1,0,11,5,0,0,41310,0,24,6,0
0,29,0,393264,0,13,2,11,4,0,0,0,0,40,0,0
0,30,0,209691,8,4,0,6,0,0,1,0,0,40,0,0
0,55,0,90414,4,13,5,1,0,2,0,0,0,55,20,0
0,33,0,202822,6,4,0,3,3,0,0,0,0,14,33,0
0,42,0,182108,7,13,0,5,0,1,0,0,0,35,0,0
0,25,2,181896,4,13,1,7,3,0,0,0,0,40,0,0
0,51,5,106257,9,12,0,9,0,2,0,0,0,40,0,0
0,72,4,284120,2,10,2,2,3,0,1,0,0,40,0,0
0,72,1,289930,5,13,4,2,2,0,1,991,0,7,0,0
1,55,0,70088,2,14,3,2,2,0,1,0,0,40,0,0
0,53,2,192982,5,9,2,12,2,0,0,0,0,85,1,0
0,28,3,25864,1,9,1,0,3,3,1,0,0,35,0,0
0,31,2,213307,2,9,2,4,5,2,0,0,0,40,1,0
0,39,0,126494,1,9,0,1,4,0,0,0,0,40,0,0
0,41,1,67671,5,14,1,1,3,0,1,0,0,50,0,0
0,25,0,198870,4,13,1,3,2,1,0,0,0,35,0,0
0,27,4,209109,3,14,0,3,3,0,0,0,0,35,0,0
1,34,2,202046,1,9,1,6,1,0,0,0,0,35,0,0
0,63,5,54851,0,9,1,10,1,0,1,0,0,40,0,0
1,56,3,268213,2,14,3,2,2,0,1,0,0,35,13,0
1,33,2,254221,11,16,1,0,1,0,1,0,0,60,0,1
0,44,0,75012,1,9,1,11,3,0,1,0,0,80,0,0
0,31,2,58624,2,9,2,3,3,0,0,0,0,40,0,0
0,22,1,290504,5,9,1,7,4,0,0,0,0,40,1,0
0,25,2,32275,5,10,1,1,2,4,1,0,0,40,0,0
0,30,0,144593,0,9,0,8,2,1,0,0,0,40,5,0
0,22,0,156822,13,6,3,5,2,0,0,0,1762,25,0,0
0,48,0,80430,7,7,1,1,3,0,1,0,0,30,0,0
0,26,1,172230,5,9,1,2,1,0,0,0,0,40,1,0
0,28,1,167062,1,10,0,2,0,0,0,0,0,40,1,0
0,46,1,384795,4,13,0,0,0,1,1,0,0,32,1,0
1,37,0,48063,3,13,0,0,0,0,0,0,0,55,0,0
0,41,1,175149,2,9,3,10,1,2,1,0,0,38,0,1
0,38,0,51100,0,13,1,2,4,0,0,3325,0,40,0,0
0,23,0,156513,1,9,2,6,2,1,1,0,0,40,0,0
0,28,0,478315,4,13,2,2,3,2,0,0,0,40,0,0
0,25,0,201737,3,10,2,3,4,0,1,0,0,40,0,0
0,44,0,175943,5,13,1,9,4,0,1,0,0,20,0,1
0,39,5,85874,3,9,4,7,2,0,0,0,0,40,0,0
0,31,0,204752,4,13,2,1,1,0,1,0,0,50,0,1
0,37,0,372525,5,14,3,8,0,2,1,0,0,48,1,1
0,53,5,302847,6,9,0,6,0,0,0,0,0,35,0,1
0,21,0,312017,3,10,1,4,3,0,0,0,0,40,0,0
0,61,1,176753,2,9,0,11,0,0,0,0,0,48,0,0
1,26,0,248612,0,13,0,8,0,0,0,0,0,70,0,1
0,41,1,139907,10,11,3,9,1,0,0,0,0,30,0,0
0,55,2,148773,13,6,2,4,1,0,1,0,0,40,0,0
1,31,4,210164,0,9,2,10,3,0,1,0,0,40,0,0
0,68,0,351711,3,10,0,3,0,0,0,0,0,40,0,0
0,42,0,112181,6,9,0,10,5,0,1,0,0,40,0,0
1,36,0,237943,5,14,1,9,1,2,1,15024,0,50,1,1
0,41,1,166813,1,10,2,1,2,0,0,0,0,55,1,0
0,34,2,268051,4,10,1,9,2,1,0,0,0,25,25,0
1,37,1,112497,6,15,0,3,0,0,0,0,0,50,0,1
0,37,0,70282,8,12,1,6,4,1,1,0,0,40,0,0
0,23,0,107452,1,10,0,4,0,0,0,0,0,40,0,0
0,18,0,210026,9,6,1,5,5,0,1,0,0,40,0,0
0,54,1,155755,3,9,2,1,0,0,1,4416,0,25,0,0
1,45,0,178319,0,16,0,0,0,0,0,7688,0,50,0,1
0,26,0,39014,13,8,2,13,2,2,0,0,0,40,30,0
0,77,1,138714,5,10,1,5,1,0,0,0,0,40,0,0
0,57,0,135134,2,14,1,8,1,0,0,0,0,20,0,0
1,56,0,195668,1,6,0,1,0,0,0,0,0,35,7,0
1,33,0,168981,4,14,2,6,0,0,1,14084,0,50,0,1
0,53,0,182855,11,6,0,2,4,0,0,0,0,48,0,0
0,43,3,108945,0,13,3,2,3,0,1,0,0,48,0,0
0,41,4,38876,1,11,2,3,3,0,1,0,0,60,0,0
0,49,4,155372,5,14,1,11,4,0,1,0,0,40,0,0
0,20,0,303565,2,10,3,11,3,1,1,0,0,40,12,0
0,36,0,204590,7,13,4,10,3,0,0,0,213,40,0,0
0,66,4,293114,0,9,1,2,1,0,1,1409,0,40,0,0
0,56,6,175057,4,13,1,9,1,2,1,0,0,40,1,0
0,27,4,151402,2,9,1,11,1,1,1,0,1573,70,0,0
0,27,0,130438,3,9,1,1,5,0,0,0,0,40,0,0
0,30,4,113838,12,11,1,2,1,0,1,3137,0,60,12,0
1,42,0,154076,0,9,1,9,1,0,1,7688,0,50,0,1
0,31,2,106437,0,9,2,1,0,0,0,0,0,40,0,0
0,35,0,146091,2,10,3,1,2,0,0,0,0,40,0,0
0,36,2,135289,1,9,1,9,1,0,0,0,0,45,0,0
1,51,3,199688,0,13,0,11,0,0,0,0,0,40,0,1
1,37,0,355856,0,13,1,4,2,2,0,0,0,40,28,0
0,25,0,187653,2,9,2,5,4,0,0,0,0,48,0,0
0,63,2,88653,4,10,0,0,0,0,0,0,0,40,10,1
0,26,0,212793,0,9,2,5,1,0,1,0,0,40,0,0
1,78,6,385242,5,13,1,6,1,0,0,9386,0,45,0,1
0,29,1,109621,5,9,2,4,2,0,0,0,0,40,1,0
0,19,0,292511,5,10,0,3,2,1,1,0,0,25,0,0
0,47,0,159389,7,12,2,0,1,0,0,0,0,40,0,0
1,37,1,36214,7,13,0,3,0,0,0,0,0,65,0,0
1,51,1,216475,4,13,1,1,1,0,1,0,1564,43,1,0
1,43,0,214781,7,14,2,6,3,0,1,5178,0,40,0,1
1,51,1,74160,5,14,1,11,1,0,0,0,0,60,0,0
0,31,0,446512,0,10,3,7,4,1,0,0,0,40,0,0
1,34,1,176831,4,13,0,0,0,0,1,0,0,40,1,0
0,45,5,222374,4,13,2,8,2,2,1,0,0,40,1,0
0,35,3,253860,2,9,3,8,4,0,1,0,0,20,0,0
0,32,2,373263,2,9,0,2,3,0,1,0,0,40,0,1
0,23,0,230315,5,10,0,3,0,2,1,0,0,40,8,0
0,30,4,196342,0,10,2,8,2,0,1,0,0,25,0,0
0,33,2,290614,0,9,2,4,3,0,1,0,0,40,0,0
1,73,1,148003,5,10,0,6,2,0,1,20051,0,36,0,1
1,46,5,192779,0,13,0,0,0,0,0,7688,0,40,0,1
1,56,0,345730,2,13,0,3,0,0,0,0,0,45,0,1
1,38,6,325538,14,15,3,2,2,0,1,0,0,50,0,1
1,29,3,184723,1,10,1,1,0,0,0,0,0,40,0,0
0,30,2,233993,0,13,2,11,3,0,1,0,0,15,0,0
0,26,0,31143,1,10,2,7,1,0,1,0,0,40,0,0
0,31,2,163890,1,10,1,6,2,1,1,0,0,40,0,0
0,33,4,242150,8,11,1,7,1,0,0,0,0,50,0,0
0,34,1,153942,10,11,0,5,0,0,0,0,0,40,0,0
0,38,0,213716,1,11,3,4,0,0,0,0,0,30,0,0
1,45,0,160472,6,13,1,4,1,0,1,0,1977,50,0,1
0,48,0,175925,1,9,0,12,0,0,0,0,0,48,0,0
1,48,0,159726,3,9,1,7,2,0,0,0,0,55,0,0
0,25,0,109112,2,9,1,9,1,1,1,0,0,48,0,0
1,51,2,221532,6,13,0,4,5,0,1,0,0,40,0,0
0,34,0,48014,4,13,3,5,0,0,0,0,0,35,0,0
0,17,2,163494,12,6,0,5,3,0,0,0,0,30,0,0
0,44,2,45093,2,9,0,11,0,0,0,0,0,70,0,0
1,35,2,220098,1,9,1,4,2,0,1,0,0,40,0,0
1,31,2,114937,6,12,1,0,1,0,0,0,0,40,0,0
0,38,0,127601,0,10,1,13,4,2,0,0,0,35,1,0
0,63,0,237379,13,6,1,8,1,0,1,0,0,40,0,0
0,77,3,132728,1,14,3,8,1,0,0,0,0,45,0,1
0,28,2,214858,1,9,1,12,5,0,0,0,0,48,0,0
0,48,4,200471,2,10,1,3,1,0,1,0,0,40,0,0
0,21,0,124589,0,9,1,2,1,0,0,0,0,40,0,0
0,62,3,197218,0,9,5,0,2,0,0,0,0,18,0,0
0,39,0,77516,0,13,0,0,0,0,0,2174,0,40,0,1
1,41,0,231689,1,9,0,5,0,0,0,0,0,40,0,0
0,51,0,136121,10,11,2,1,4,0,0,0,0,38,0,0
0,20,0,137974,2,10,3,10,3,0,0,0,0,30,0,0
0,38,0,179314,1,9,1,6,3,0,1,0,0,40,0,0
1,34,0,243165,0,13,1,9,2,0,0,0,0,30,0,0
0,23,2,325921,2,11,1,8,0,0,0,0,0,36,0,0
0,30,0,161690,12,11,3,9,0,0,0,0,0,40,0,0
0,28,2,206351,4,10,1,5,1,0,1,0,0,40,0,0
0,33,1,215288,7,7,1,1,4,1,0,0,0,40,0,0
0,53,1,270546,1,9,2,13,1,0,1,0,0,20,0,0
0,35,1,257416,10,11,1,9,4,1,0,0,0,40,0,0
1,50,0,148953,2,9,0,3,0,0,0,0,0,50,0,0
0,56,4,346635,7,14,3,2,4,0,0,0,2339,60,0,0
0,37,6,199265,2,10,1,8,2,0,0,0,0,50,0,0
1,36,5,251730,1,10,3,9,2,0,1,0,0,60,0,1
0,20,0,315877,1,9,1,4,3,0,0,0,2001,40,0,0
0,43,2,154785,4,13,2,6,5,2,1,0,0,80,20,0
0,31,0,39054,0,9,3,7,2,0,1,0,0,20,0,0
0,41,0,191814,2,9,1,12,2,1,1,0,0,40,0,0
0,51,3,180195,0,9,1,5,1,0,1,0,0,50,0,0
1,34,2,108247,14,15,1,9,1,0,1,0,0,55,0,1
0,45,0,80430,0,9,0,10,0,0,0,0,0,40,0,0
0,32,2,194987,2,9,0,4,3,2,1,0,0,40,0,1
0,46,0,173613,2,9,1,0,1,0,1,0,0,30,0,0
0,28,2,33374,10,7,5,1,2,0,0,0,0,35,0,0
0,29,0,258862,1,13,3,3,0,0,0,0,0,45,0,0
1,49,1,355978,6,15,0,11,0,0,0,99999,0,35,0,1
0,56,2,435022,4,10,3,3,1,0,1,0,0,50,0,0
0,36,1,133655,5,9,5,2,0,0,1,0,0,40,1,0
1,39,0,47871,2,13,3,0,2,0,1,0,0,50,0,0
0,59,2,183606,11,7,1,3,1,0,1,0,0,40,0,0
0,25,0,190916,3,9,1,2,3,0,0,0,0,40,0,0
1,61,2,503675,1,10,2,1,2,1,0,0,0,60,1,0
1,46,3,215895,5,13,1,12,1,0,1,0,0,40,0,1
0,26,2,288781,0,13,1,6,1,0,0,0,0,42,0,1
1,38,0,108140,5,14,1,9,1,0,1,0,0,50,0,1
1,60,0,166330,1,9,1,7,1,0,0,99999,0,40,0,1
0,21,0,89991,0,10,2,2,2,0,0,0,0,40,0,0
0,37,0,109133,2,9,0,7,0,0,0,0,0,40,14,0
0,41,5,344329,2,9,1,0,1,2,1,0,0,10,1,0
0,25,4,77698,1,10,0,3,3,1,1,0,0,40,0,0
0,49,0,125892,0,9,1,2,1,0,1,0,0,40,0,0
0,17,1,287160,8,7,1,7,3,0,1,0,0,15,1,0
0,38,1,193026,5,9,1,7,0,0,0,0,1408,40,4,0
0,34,0,119422,12,11,0,12,0,0,0,0,1672,50,0,0
1,30,0,132601,0,13,0,2,0,0,0,99999,0,50,0,1
0,26,0,276309,2,10,0,13,1,1,1,0,0,20,0,0
0,34,0,245378,0,13,0,0,0,0,0,0,0,45,0,1
0,54,0,346014,1,10,1,4,4,0,1,0,0,40,0,0
1,48,2,181758,11,16,3,9,4,0,0,0,0,60,0,1
0,40,5,104235,2,14,2,8,3,0,1,0,0,99,0,1
0,71,2,105200,0,9,1,9,1,0,1,6767,0,20,0,0
0,55,2,123382,3,9,4,6,3,1,1,0,2001,40,0,0
0,63,0,100099,11,5,0,11,0,0,0,0,0,40,0,0
1,42,2,235786,1,12,1,8,1,0,1,0,0,50,0,0
0,25,2,302465,13,8,2,3,0,0,1,0,1741,40,0,0
0,30,1,194827,5,10,0,9,0,0,0,0,1740,40,0,0
0,44,0,116391,4,13,2,1,0,0,1,0,0,40,0,0
0,32,2,206365,1,9,0,4,0,1,1,0,0,40,0,0
0,25,0,161478,0,13,0,0,0,2,1,0,0,40,0,0
1,53,1,283602,7,14,2,6,2,0,0,15024,0,40,0,1
1,70,2,141742,2,11,2,4,1,0,1,9386,0,50,0,1
0,47,0,74305,4,13,3,1,2,2,1,0,0,40,1,0
0,19,0,285750,3,9,0,13,5,0,0,0,0,30,0,0
0,65,0,255386,3,9,1,3,2,3,0,0,0,40,11,0
0,43,0,249771,3,9,0,11,0,3,0,0,0,99,0,0
0,28,0,209641,3,9,1,5,3,0,0,0,0,32,0,0
0,23,0,62278,2,10,1,5,1,0,1,0,0,45,0,0
1,47,0,332355,0,14,2,9,2,0,0,15024,0,50,1,1
0,18,3,276864,1,10,2,8,3,0,1,0,1602,20,0,0
0,26,0,194352,7,13,1,2,1,0,1,0,0,40,0,0
0,28,1,526528,3,10,1,3,4,1,1,3887,0,40,0,0
0,31,5,102130,3,14,1,10,1,1,1,0,0,45,0,1
0,67,7,111321,7,13,1,5,1,1,1,0,0,16,0,1
1,41,0,143003,8,11,1,8,1,2,0,7298,0,60,6,1
0,35,0,167140,4,13,1,8,1,2,1,5013,0,40,1,0
0,42,2,54102,14,11,0,1,5,0,0,0,0,40,0,0
1,38,2,203138,4,13,2,7,4,0,0,0,0,50,0,0
0,17,0,79682,10,6,3,12,5,0,1,0,0,30,0,0
0,78,2,182977,1,9,6,4,0,1,1,2964,0,40,0,0
0,32,0,151773,2,10,1,3,1,0,1,0,0,45,0,0
0,47,0,157901,1,7,1,9,2,3,0,0,0,36,0,0
1,61,2,202106,1,9,1,4,3,0,1,0,1902,40,0,0
1,42,2,247019,1,9,1,6,1,1,0,0,0,40,0,0
1,46,0,102308,2,9,1,13,1,2,1,0,0,56,1,0
0,60,4,33717,5,7,3,10,2,0,1,0,0,50,0,0
0,49,0,190115,0,9,1,5,1,0,0,0,1672,44,0,0
0,18,5,169882,5,10,0,11,3,0,1,594,0,15,0,0
0,58,0,238438,1,10,1,9,1,0,0,0,0,42,0,0
0,17,0,29571,10,8,1,10,1,0,0,0,0,15,0,0
0,28,0,346406,3,9,0,11,0,0,0,0,1672,50,0,0
0,20,4,111252,1,10,1,5,3,0,1,0,0,30,1,0
0,29,3,167544,9,12,2,4,3,0,1,0,0,13,0,0
1,28,0,119793,7,11,3,0,3,0,0,10520,0,50,0,1
0,64,4,164876,6,9,2,9,4,0,0,0,0,20,0,0
0,23,0,197200,4,13,2,2,3,0,1,0,0,60,0,1
0,32,0,391874,3,9,0,1,0,0,0,0,0,40,0,1
0,28,0,264498,1,13,3,9,0,0,0,0,0,40,0,0
1,33,0,229732,7,13,1,0,5,0,0,0,0,45,0,1
0,36,2,187203,12,11,0,5,3,0,1,0,0,50,0,0
0,24,0,433330,1,9,0,0,0,0,1,0,0,40,0,1
0,62,4,159699,0,13,0,6,0,0,0,0,0,38,0,1
0,39,0,215095,7,7,3,9,4,0,0,0,0,30,25,0
0,20,1,432154,5,9,1,1,3,0,1,0,0,8,0,0
0,36,0,374983,1,7,1,3,2,0,0,0,0,40,0,0
0,56,0,219762,6,9,0,6,5,0,1,0,0,35,0,0
0,34,1,340458,13,8,1,2,0,0,1,0,0,40,1,0
1,40,2,102606,7,14,1,4,1,0,1,0,0,40,0,0
1,49,6,44671,8,12,1,4,1,0,1,0,0,40,0,0
0,37,1,172256,4,10,0,3,0,0,0,0,0,20,0,0
0,21,0,221480,4,10,1,1,5,0,1,0,0,25,21,0
1,65,5,195733,5,10,1,11,1,0,0,0,0,30,0,0
0,25,0,217030,1,9,1,4,3,0,1,0,0,30,0,0
1,28,0,96020,0,13,0,2,2,0,1,0,0,50,0,1
0,38,4,318886,5,13,1,12,1,1,1,0,0,52,0,1
0,31,2,134613,6,11,0,2,3,2,1,0,0,43,0,0
0,54,0,111469,0,10,3,9,2,2,0,0,0,40,1,0
0,17,2,54257,10,7,1,7,3,0,0,0,0,20,0,0
1,70,0,148065,1,10,2,0,1,0,1,0,0,4,0,0
1,78,6,237294,0,9,3,5,2,0,0,0,0,45,0,0
0,42,2,154374,6,13,1,11,1,0,1,0,0,58,0,1
0,48,4,121622,4,14,0,9,3,0,1,0,1380,40,0,0
0,46,0,133616,2,10,0,1,2,0,0,0,0,40,0,0
0,41,2,254440,7,11,0,3,0,0,1,0,0,60,0,0
0,49,0,173115,13,6,4,7,2,1,1,4416,0,99,0,0
0,28,0,181776,2,10,1,0,0,0,0,0,0,40,0,0
0,23,0,129583,1,9,1,10,5,1,1,0,0,16,0,0
0,33,0,141490,0,9,1,2,4,0,0,0,0,45,0,0
0,41,0,327606,10,8,4,3,5,2,0,0,0,40,0,0
0,58,0,216851,11,5,0,6,2,1,1,0,0,40,21,0
0,28,0,160981,2,10,3,1,0,0,0,0,0,52,0,0
0,42,6,211915,0,10,0,3,0,2,0,0,0,40,1,0
0,24,0,326334,5,13,0,9,0,0,0,0,0,20,0,0
0,60,2,525878,5,9,2,9,2,1,0,0,0,40,1,0
1,52,0,236497,5,13,1,6,1,0,0,0,0,48,0,1
0,35,2,142616,3,9,3,1,3,1,0,0,0,30,0,0
0,21,6,169003,13,8,1,2,3,1,0,0,0,25,1,0
0,19,1,238474,7,7,1,7,4,0,0,0,0,40,0,0
1,44,2,63042,0,13,2,1,3,0,1,0,0,50,0,1
0,44,5,60735,4,13,0,0,3,0,1,0,0,60,1,0
0,26,0,416577,2,9,0,7,0,2,0,0,0,45,0,0
1,30,0,327112,5,13,2,5,2,0,1,0,1564,40,0,0
0,49,2,50282,5,10,2,9,0,0,0,3325,0,45,0,0
0,70,2,347910,2,10,1,7,1,0,1,0,0,35,0,0
0,40,0,63745,12,11,3,1,0,0,0,0,0,40,0,0
0,45,0,111994,2,10,3,2,0,0,1,4650,0,40,0,0
0,57,0,153918,0,9,3,6,2,0,1,0,0,40,0,0
0,41,0,172307,10,5,2,9,3,0,1,0,0,40,0,0
0,32,0,116138,2,14,2,12,1,4,1,0,0,11,24,0
0,61,1,213321,5,9,2,8,2,0,0,0,0,40,1,0
1,28,1,42003,3,10,0,3,0,0,0,0,0,40,0,0
0,48,6,85109,1,10,0,4,2,0,0,0,0,45,0,0
0,42,2,255847,1,9,0,2,0,0,0,0,0,40,0,0
1,46,0,144531,6,13,2,6,0,0,0,0,0,40,0,0
1,38,5,31352,4,10,3,11,3,3,1,0,0,40,0,0
0,38,2,151322,3,9,3,4,0,0,0,0,0,40,0,0
0,41,2,152636,3,9,4,3,2,0,0,0,0,50,0,0
0,41,1,196001,1,9,1,4,2,0,1,0,0,20,0,0
1,61,0,539563,1,10,0,2,0,0,0,0,0,45,0,1
0,68,5,144761,2,9,3,1,0,1,1,0,1668,20,0,0
0,41,1,394669,0,13,1,3,1,0,1,0,1741,40,0,0
0,17,4,183784,0,6,1,0,1,0,0,0,0,15,0,0
0,46,2,157117,0,9,1,8,1,0,1,0,0,40,0,0
1,30,4,127651,1,9,0,9,0,0,0,0,1887,48,0,1
0,52,0,98752,9,5,4,2,4,0,0,0,0,40,0,0
0,37,0,167777,3,9,0,4,0,0,0,0,0,52,0,0
0,17,2,89870,11,6,2,4,2,0,1,0,0,40,0,0
0,24,0,182342,0,9,3,11,0,0,1,0,0,40,0,0
0,67,0,118363,0,13,2,8,0,0,1,0,2206,5,0,1
0,41,2,59938,2,9,3,4,4,0,1,0,0,43,0,0
0,28,0,129460,11,5,1,3,5,0,0,0,0,40,5,0
0,62,5,181014,0,13,0,10,0,0,0,0,0,40,0,1
1,37,0,148581,2,9,1,6,1,2,1,0,0,50,1,0
0,71,4,78786,9,4,3,10,2,0,1,0,0,10,0,0
0,32,0,248584,0,9,1,3,1,0,1,0,0,40,0,0
0,24,3,117109,0,13,1,6,5,1,1,0,0,27,0,0
1,38,1,100295,6,4,2,6,5,0,1,0,0,50,3,0
1,51,4,246820,0,9,2,9,3,0,1,7298,0,48,0,1
0,49,0,200471,9,7,2,1,4,0,0,0,0,60,0,0
0,25,2,181666,9,12,1,9,2,0,1,0,0,40,0,0
0,24,2,216129,0,13,0,5,0,0,0,0,0,50,0,1
0,63,3,147440,4,10,3,0,1,0,1,0,0,35,0,0
0,24,0,209034,7,12,1,8,2,0,0,0,0,20,0,0
1,57,0,222247,9,8,0,9,0,0,0,0,0,40,0,0
0,69,0,208869,3,14,1,3,1,0,0,0,0,11,0,0
0,44,0,172025,3,10,3,3,4,0,1,0,0,38,0,0
0,45,2,188386,0,9,1,7,1,0,1,0,1628,45,0,0
1,35,0,406051,12,16,1,2,5,0,1,0,0,80,0,0
0,23,2,113309,1,10,1,2,0,0,1,0,0,40,0,0
1,58,0,98725,10,16,0,3,0,0,0,0,0,50,0,1
0,28,6,389857,3,9,0,12,2,0,0,0,0,16,0,0
0,23,0,163870,3,10,1,4,2,0,0,0,0,40,0,0
0,27,4,221317,10,7,2,3,1,0,1,0,0,40,6,0
0,31,2,59083,4,10,1,0,1,0,1,0,1672,50,0,0
1,45,2,368561,1,9,1,1,1,0,0,0,0,55,0,0
0,38,0,216129,1,13,0,10,0,1,0,0,0,60,2,1
0,40,0,137142,3,9,0,7,0,0,0,0,0,60,0,0
0,71,2,116165,5,10,3,8,0,1,0,0,0,14,14,0
